,Ticker,Name,Exchange,output
1881,MTDR,Matador Resources Company,NYSE,Matador Resources Company (MTDR)
1882,MTG,Mgic Investment Corp.,NYSE,Mgic Investment Corp. (MTG)
1883,MTH,Meritage Corp.,NYSE,Meritage Corp. (MTH)
1884,MTL,Mechel Steel Group Oao,NYSE,Mechel Steel Group Oao (MTL)
1885,MTL.P,Mechel Steel Group Oao American,NYSE,Mechel Steel Group Oao American (MTL.P)
1886,MTN,Vail Resorts,NYSE,Vail Resorts (MTN)
1887,MTOR,Arvinmeritor,NYSE,Arvinmeritor (MTOR)
1888,MTR,Mesa Royalty Trust,NYSE,Mesa Royalty Trust (MTR)
1889,MTRN,Brush Wellman Inc,NYSE,Brush Wellman Inc (MTRN)
1890,MTS,Montgomery Street Income Securities,NYSE,Montgomery Street Income Securities (MTS)
1891,MTT,Western Asset Muni Defined Opportunity,NYSE,Western Asset Muni Defined Opportunity (MTT)
1892,MTU,Mitsubishi Ufj Financial Group Inc,NYSE,Mitsubishi Ufj Financial Group Inc (MTU)
1893,MTW,Manitowoc Company,NYSE,Manitowoc Company (MTW)
1894,MTX,Minerals Technologies Inc.,NYSE,Minerals Technologies Inc. (MTX)
1895,MTZ,Mastec,NYSE,Mastec (MTZ)
1896,MUA,Blackrock Muniassets Fund,NYSE,Blackrock Muniassets Fund (MUA)
1897,MUC,Blackrock Muniholdings California,NYSE,Blackrock Muniholdings California (MUC)
1898,MUE,Blackrock Muniholdings Quality Fund II,NYSE,Blackrock Muniholdings Quality Fund II (MUE)
1899,MUH,Blackrock Muniholdings Fund II,NYSE,Blackrock Muniholdings Fund II (MUH)
1900,MUI,Blackrock Muni Intermediate Duration,NYSE,Blackrock Muni Intermediate Duration (MUI)
1901,MUJ,Blackrock Muniholdings New Jersey,NYSE,Blackrock Muniholdings New Jersey (MUJ)
1902,MUR,Murphy Oil Corp.,NYSE,Murphy Oil Corp. (MUR)
1903,MUS,Blackrock Muniholdings Quality Fund,NYSE,Blackrock Muniholdings Quality Fund (MUS)
1904,MUX,Mcewen Mining Inc,NYSE,Mcewen Mining Inc (MUX)
1905,MVC,Mvc Capital,NYSE,Mvc Capital (MVC)
1906,MVCB,Mvc Capital Inc.,NYSE,Mvc Capital Inc. (MVCB)
1907,MVO,Mv Oil Trust,NYSE,Mv Oil Trust (MVO)
1908,MVT,Blackrock Munivest Fund II,NYSE,Blackrock Munivest Fund II (MVT)
1909,MW,Men's Wearhouse,NYSE,Men's Wearhouse (MW)
1910,MWA,Mueller Water Products,NYSE,Mueller Water Products (MWA)
1911,MWE,Markwest Energy Partners Lp,NYSE,Markwest Energy Partners Lp (MWE)
1912,MWG,Morgan Stanley Cap TR IV Gtd Cap Secs,NYSE,Morgan Stanley Cap TR IV Gtd Cap Secs (MWG)
1913,MWO,Morgan Stanley Cap TR V Gtd Cap Secs,NYSE,Morgan Stanley Cap TR V Gtd Cap Secs (MWO)
1914,MWR,Morgan Stanley Cap TR III Capital Trust,NYSE,Morgan Stanley Cap TR III Capital Trust (MWR)
1915,MWV,Meadwestvaco Corp.,NYSE,Meadwestvaco Corp. (MWV)
1916,MWW,Monster Worldwide,NYSE,Monster Worldwide (MWW)
1917,MX,Magnachip Semiconductor Corp.,NYSE,Magnachip Semiconductor Corp. (MX)
1918,MXE,Mexico Equity And,NYSE,Mexico Equity And (MXE)
1919,MXF,Mexico Fund,NYSE,Mexico Fund (MXF)
1920,MXL,Maxlinear Inc,NYSE,Maxlinear Inc (MXL)
1921,MXT,Maxcom Telecomunicaciones Sab De Cv,NYSE,Maxcom Telecomunicaciones Sab De Cv (MXT)
1922,MY,China Ming Yang Wind Power Group Limited,NYSE,China Ming Yang Wind Power Group Limited (MY)
